open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1771066800000,2076.06,2107.02,2076.0,2098.22,279992.512,1771070399999,586666423.10098,431741,153343.846,321300276.09101
1771070400000,2098.22,2099.23,2066.75,2070.0,276597.918,1771073999999,575923137.48972,390434,108406.221,225728706.19565
1771074000000,2070.0,2075.76,2063.16,2070.7,179141.333,1771077599999,370767485.80433,288476,81568.877,168849588.1501
1771077600000,2070.69,2087.82,2068.05,2084.01,130051.158,1771081199999,270205635.44392,231371,73399.106,152514507.6493
1771081200000,2084.0,2092.99,2079.2,2086.38,118771.737,1771084799999,247752583.40046,214775,58258.88,121553192.76652
1771084800000,2086.38,2087.0,2066.48,2081.81,186435.316,1771088399999,386949364.93035,293614,91063.02,189030272.40841
1771088400000,2081.8,2088.5,2076.24,2079.26,89530.383,1771091999999,186396516.23478,187776,44475.595,92606745.41368
1771092000000,2079.27,2085.86,2077.85,2084.41,46564.328,1771095599999,96978399.64519,117679,23799.399,49566468.18847
1771095600000,2084.42,2089.61,2077.08,2087.31,62256.205,1771099199999,129802232.17762,132852,31256.046,65169352.15747
1771099200000,2087.31,2091.99,2080.01,2088.56,56033.359,1771102799999,116917114.90901,121095,30539.235,63731105.47009
1771102800000,2088.56,2098.94,2077.29,2084.79,123293.161,1771106399999,257355702.14503,190227,71090.264,148401774.79718
1771106400000,2084.8,2093.92,2082.34,2089.34,44651.623,1771109999999,93269981.41218,103227,23387.738,48853970.86776
1771110000000,2089.35,2092.0,2082.48,2085.43,61589.686,1771113599999,128580664.97461,120920,33173.746,69273576.20754
1771113600000,2085.43,2089.0,2071.6,2079.03,105682.809,1771117199999,219785529.17723,172855,49172.689,102282690.39447
1771117200000,2079.03,2084.0,2051.65,2062.9,232726.486,1771120799999,480200766.87974,335766,101780.674,210032268.62761
1771120800000,2062.9,2071.7,2041.78,2058.7,187759.032,1771124399999,386211163.32605,304298,87255.256,179536823.1327
1771124400000,2058.7,2062.52,2034.35,2058.09,312841.738,1771127999999,640170782.74436,418605,133789.855,273996145.75461
1771128000000,2058.08,2087.08,2058.08,2075.72,284675.263,1771131599999,590501729.81507,427817,174398.051,361742265.17149
1771131600000,2075.71,2095.94,2074.23,2087.64,129355.223,1771135199999,270099205.31976,262318,67740.447,141451696.03445
1771135200000,2087.65,2093.99,2081.55,2084.92,86387.035,1771138799999,180389675.58894,208609,41437.994,86531441.93512
1771138800000,2084.93,2102.73,2081.92,2090.58,166593.445,1771142399999,348210170.58307,338077,91496.513,191295674.4855
1771142400000,2090.58,2096.0,2053.46,2068.0,256902.874,1771145999999,532211012.20481,416009,112101.827,232236126.20657
1771146000000,2068.0,2078.82,2065.06,2067.81,110086.09,1771149599999,228035376.04935,184978,58857.56,121938044.45503
1771149600000,2067.81,2069.31,2052.52,2060.56,128212.43,1771153199999,264099160.47708,238365,57243.458,117911493.57323
1771153200000,2060.57,2065.91,2057.46,2060.97,55347.429,1771156799999,114095044.74306,113836,27060.254,55788773.31811
1771156800000,2060.98,2067.8,2009.21,2009.78,384188.651,1771160399999,782670736.33821,469881,175748.0,358308214.93631
1771160400000,2009.78,2027.93,1992.0,2001.2,567323.62,1771163999999,1140753263.94485,717225,281553.916,566373922.53499
1771164000000,2001.2,2011.93,1992.0,2009.24,226956.168,1771167599999,454477138.20258,386893,121001.092,242340048.39353
1771167600000,2009.23,2014.15,2000.63,2010.25,125553.727,1771171199999,252113152.12522,234331,62982.161,126491792.0603
1771171200000,2010.25,2010.33,1993.0,2005.36,154346.103,1771174799999,309016183.80799,257808,73184.514,146531156.4961
1771174800000,2005.36,2008.29,1945.26,1970.13,439340.653,1771178399999,868008504.82181,535761,187849.94,371195654.82899
1771178400000,1970.13,1980.81,1952.66,1958.51,306296.992,1771181999999,602142806.16244,537115,156884.971,308429483.83778
1771182000000,1958.5,1961.1,1926.83,1941.17,420140.761,1771185599999,815643336.19636,673216,206213.454,400395075.56135
1771185600000,1941.18,1958.1,1933.29,1949.1,186645.5,1771189199999,363259850.41164,327608,96288.921,187483422.205
1771189200000,1949.1,1966.27,1948.81,1957.16,127239.781,1771192799999,248992461.83976,225256,70846.136,138661565.40138
1771192800000,1957.17,1973.5,1955.41,1969.41,97638.179,1771196399999,191912842.33054,191212,55765.097,109630674.84808
1771196400000,1969.4,1969.91,1942.74,1965.47,170848.693,1771199999999,334145968.66587,361745,84809.424,165872610.13283
1771200000000,1965.48,1978.0,1962.0,1968.31,141378.99,1771203599999,278493916.20306,280549,70618.056,139123472.66302
1771203600000,1968.31,1980.64,1955.76,1961.96,146144.711,1771207199999,287584261.92971,277470,74038.039,145748297.63614
1771207200000,1961.96,1965.9,1951.0,1956.07,96434.283,1771210799999,188832652.23406,265127,44778.885,87698086.99956
1771210800000,1956.08,1958.91,1947.24,1957.72,113559.416,1771214399999,221820194.67391,212333,55183.49,107808843.74436
1771214400000,1957.73,1972.2,1957.5,1971.94,106953.603,1771217999999,210263990.10931,189477,60170.41,118295301.92804
1771218000000,1971.95,1973.4,1951.59,1956.93,95315.947,1771221599999,186665271.40072,178180,43720.399,85600177.13757
1771221600000,1956.93,1966.63,1954.65,1965.73,63275.089,1771225199999,124112967.53406,132445,31367.643,61542160.12316
1771225200000,1965.73,1977.66,1963.12,1970.12,132800.442,1771228799999,261722835.9479,224642,65389.478,128887204.81514
1771228800000,1970.12,1977.63,1968.7,1976.11,75153.793,1771232399999,148294029.30356,159830,40327.553,79573754.11808
1771232400000,1976.1,1992.23,1975.1,1986.51,211514.758,1771235999999,419987413.55022,325027,109506.433,217432034.04771
1771236000000,1986.51,1988.0,1975.58,1977.98,89916.509,1771239599999,178168005.54549,169014,42017.54,83275284.28057
1771239600000,1977.98,1984.53,1956.05,1975.15,256981.863,1771243199999,505873037.69627,374546,132194.657,260284370.30334
1771243200000,1975.15,2009.18,1971.21,2005.59,331206.912,1771246799999,660198115.08174,475852,171406.867,341693731.01645
1771246800000,2005.59,2023.3,1960.0,1966.77,660881.495,1771250399999,1314475945.50918,892099,303829.954,604543335.17999
1771250400000,1966.76,1982.35,1953.04,1971.93,249961.254,1771253999999,491822811.95076,526883,130886.27,257645035.27103
1771254000000,1971.92,1985.75,1935.39,1955.63,428243.688,1771257599999,837605578.41708,762994,206935.343,404747321.69098
1771257600000,1955.63,1979.21,1955.13,1972.73,254742.848,1771261199999,501221659.17151,476492,125520.992,247035517.69469
1771261200000,1972.73,1988.0,1963.25,1978.02,179414.938,1771264799999,354629111.91609,341068,95945.677,189691172.47711
1771264800000,1978.01,1984.96,1966.08,1968.14,98305.75,1771268399999,194265691.58588,212309,46926.381,92742988.02558
1771268400000,1968.14,1979.18,1965.14,1973.37,61504.25,1771271999999,121312481.68877,144476,30057.77,59292543.29576
1771272000000,1973.37,1994.51,1970.1,1992.29,109584.644,1771275599999,217482260.125,201453,63780.721,126602062.21439
1771275600000,1992.3,2003.29,1985.51,1998.19,114145.835,1771279199999,227348257.04256,213914,54059.986,107715108.02834
1771279200000,1998.2,2002.32,1982.9,1989.14,126567.776,1771282799999,252204461.95526,201797,67401.103,134319065.04715
1771282800000,1989.13,2001.69,1987.7,1997.35,78494.847,1771286399999,156644871.10926,182330,38436.006,76702698.20325
1771286400000,1997.36,2006.39,1992.38,1997.57,87091.789,1771289999999,174043924.33081,212844,46079.72,92089746.25057
1771290000000,1997.57,2007.91,1989.97,1990.69,93563.335,1771293599999,186972086.65869,214214,45254.752,90455998.19743
1771293600000,1990.7,2008.64,1977.31,1997.8,177205.938,1771297199999,353615870.17865,361127,86242.922,172170276.37898
1771297200000,1997.8,1998.58,1983.5,1984.89,95535.126,1771300799999,190141537.78802,207125,44780.527,89131624.19357
1771300800000,1984.89,1997.99,1981.0,1988.6,95410.15,1771304399999,189731961.97502,191829,49945.662,99347077.37834
1771304400000,1988.6,1990.61,1963.5,1974.6,175992.316,1771307999999,347430984.15734,323858,81647.836,161175148.86917
1771308000000,1974.6,1983.99,1974.31,1979.93,68841.965,1771311599999,136265104.11547,146453,36349.966,71954441.68339
1771311600000,1979.93,1987.45,1972.29,1984.85,88285.404,1771315199999,174796568.10039,168778,46861.152,92797356.32841
1771315200000,1984.84,1989.92,1972.3,1975.82,133516.693,1771318799999,264342111.51573,202042,62017.012,122759188.55918
1771318800000,1975.83,1979.13,1968.39,1974.81,97866.56,1771322399999,193101906.2141,189348,47213.014,93167905.88695
1771322400000,1974.81,1976.52,1960.19,1965.93,106829.626,1771325999999,210037749.38109,206765,49251.546,96836293.01782
1771326000000,1965.93,1971.74,1962.75,1967.58,78570.985,1771329599999,154587607.44304,161681,40132.795,78966053.24733
1771329600000,1967.58,1976.2,1965.75,1968.8,98021.344,1771333199999,193266554.90007,181665,51113.823,100789620.51712
1771333200000,1968.8,1999.9,1963.38,1989.6,252503.724,1771336799999,500850873.63531,383335,140947.276,279546855.78384
1771336800000,1989.6,2003.43,1942.43,1947.55,633796.657,1771340399999,1247380036.81604,900679,320380.559,630599005.38945
1771340400000,1947.55,1968.94,1940.01,1967.63,443010.126,1771343999999,865900439.21462,790247,227001.98,443830424.62305
1771344000000,1967.64,2009.89,1966.74,1979.45,534772.759,1771347599999,1064070022.72236,828572,267298.715,531904986.64969
1771347600000,1979.45,1983.26,1952.61,1965.09,308297.263,1771351199999,605823299.30311,584164,160383.106,315131058.85202
1771351200000,1965.08,2007.04,1960.44,1997.97,310775.686,1771354799999,618416621.92598,543400,161811.067,321848321.7388
1771354800000,1997.97,2014.91,1993.92,1997.3,230131.14,1771358399999,461176253.28163,401178,109539.088,219604638.09134
1771358400000,1997.31,2000.66,1985.59,1993.66,132402.497,1771361999999,263992706.73401,329899,61273.553,122184698.95024
1771362000000,1993.66,2002.11,1991.23,1998.68,57871.632,1771365599999,115485835.93472,149867,29862.32,59603707.52239
1771365600000,1998.69,2003.25,1991.56,1992.9,55980.404,1771369199999,111850625.22187,109242,23805.363,47574382.05924
1771369200000,1992.9,1997.44,1988.23,1990.68,58990.543,1771372799999,117514246.32125,135643,28055.479,55893948.18363
1771372800000,1990.68,1997.0,1980.13,1980.39,90462.267,1771376399999,179877187.82379,184930,37560.298,74702249.71683
1771376400000,1980.39,1983.14,1967.27,1976.9,150484.845,1771379999999,297138143.57428,262437,66841.75,131988862.05756
1771380000000,1976.9,1991.91,1976.3,1986.38,94214.019,1771383599999,187081351.22155,174174,52138.334,103524056.64462
1771383600000,1986.38,1999.64,1985.41,1995.85,83267.328,1771387199999,166056752.4263,156016,47494.228,94704174.62139
1771387200000,1995.85,2001.69,1992.13,1998.21,81647.396,1771390799999,162979338.04743,146369,41372.677,82595832.84631
1771390800000,1998.22,2001.96,1994.98,1995.29,64421.804,1771394399999,128728135.82401,118605,32444.97,64840644.23916
1771394400000,1995.29,2007.98,1994.39,2001.12,89154.593,1771397999999,178523574.22758,129895,48422.103,96965718.80101
1771398000000,2001.11,2022.0,1995.56,2017.19,228606.808,1771401599999,459954969.92702,239206,140700.379,283243219.05423
1771401600000,2017.2,2038.27,2016.1,2019.59,303480.394,1771405199999,614676176.35657,332489,176930.462,358411482.24746
1771405200000,2019.6,2021.99,2014.56,2015.66,98253.609,1771408799999,198326933.78228,130141,46459.75,93786371.81285
1771408800000,2015.65,2017.24,1994.03,1996.3,200087.842,1771412399999,400994334.89146,254833,88336.402,177027514.70877
1771412400000,1996.3,1997.41,1975.2,1980.19,315512.915,1771415999999,625759037.03964,397339,152948.203,303323071.60728
1771416000000,1980.19,1988.26,1970.28,1981.49,182415.709,1771419599999,361163037.63694,290410,92956.618,184074347.23318
1771419600000,1981.48,1991.1,1959.59,1969.48,300696.498,1771423199999,593686476.20933,390347,145057.206,286528164.45329
1771423200000,1969.48,1976.43,1953.2,1973.64,396703.124,1771426799999,780140795.819,654920,201604.763,396528940.32211
1771426800000,1973.65,2009.8,1972.5,1984.56,532571.714,1771430399999,1060413571.14087,734464,285100.693,567664409.4449
1771430400000,1984.56,1984.87,1964.0,1970.76,364722.494,1771433999999,718925144.70553,510336,173720.938,342409294.06437
1771434000000,1970.77,1986.99,1969.84,1973.46,132138.576,1771437599999,261203268.01257,282074,70122.75,138620982.83886
1771437600000,1973.46,1976.83,1946.9,1951.37,371802.576,1771441199999,728084922.75768,510080,174374.945,341559704.60658
1771441200000,1951.37,1960.61,1921.64,1939.82,454204.471,1771444799999,880945859.02219,656978,209772.094,406967453.60693
