open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1771729200000,67871.5,68031.7,67781.2,68010.5,3389.282,1771732799999,230156025.5837,73397,1619.627,109995507.7884
1771732800000,68010.5,68060.0,67931.0,67950.2,1721.132,1771736399999,117032250.8398,40425,590.502,40148711.9973
1771736400000,67950.2,67983.3,67850.4,67944.5,1744.866,1771739999999,118488950.8576,38635,762.019,51744632.6243
1771740000000,67944.5,68204.3,67933.9,68006.4,3623.535,1771743599999,246636206.9485,57211,2063.571,140480662.0494
1771743600000,68006.3,68067.2,67954.6,67973.0,1853.053,1771747199999,126009072.8499,42112,880.732,59889707.6745
1771747200000,67973.0,67986.9,67877.0,67909.3,2839.387,1771750799999,192907791.5268,44247,1304.291,88612551.7479
1771750800000,67909.3,68081.9,67909.3,68022.4,1792.941,1771754399999,121918779.6025,45749,840.36,57154021.2613
1771754400000,68022.4,68134.0,67982.3,68096.6,2034.918,1771757999999,138500801.1634,41525,1110.043,75560390.3038
1771758000000,68096.6,68220.0,68096.6,68183.4,2418.754,1771761599999,164885415.5378,46767,1414.725,96437963.0018
1771761600000,68183.4,68205.1,67836.4,67892.4,4777.343,1771765199999,324688473.0225,98320,2143.815,145712053.3997
1771765200000,67892.4,68011.4,67538.0,67622.4,8419.02,1771768799999,570097209.1601,168526,4194.651,284044027.3591
1771768800000,67622.3,67664.1,67310.6,67420.1,9264.553,1771772399999,625389656.3854,179628,4877.572,329266960.8467
1771772400000,67420.0,67800.0,67275.0,67659.9,8713.428,1771775999999,588796214.5804,162585,4295.854,290243748.0655
1771776000000,67660.0,67712.0,67486.2,67601.6,2777.038,1771779599999,187659751.9567,75418,1324.967,89530703.1698
1771779600000,67601.7,67602.5,67150.0,67365.0,6481.384,1771783199999,436420045.4093,139527,3213.785,216360896.04
1771783200000,67364.9,67444.5,67288.9,67392.3,2383.208,1771786799999,160548639.547,70693,1349.702,90922738.9808
1771786800000,67392.2,67458.5,67372.6,67402.2,1339.505,1771790399999,90307967.6975,39429,695.371,46881924.778
1771790400000,67402.1,67464.3,67324.1,67374.9,1764.705,1771793999999,118919933.2814,52187,1030.199,69422706.5717
1771794000000,67375.0,67617.0,67375.0,67576.2,1649.612,1771797599999,111370942.4048,43427,949.915,64132305.3292
1771797600000,67576.2,67728.0,67450.1,67631.2,2858.429,1771801199999,193191112.7711,75091,1583.59,107028391.4857
1771801200000,67631.2,67707.7,67435.5,67613.5,3385.54,1771804799999,228688792.4359,102019,1940.267,131057810.0059
1771804800000,67613.6,67655.8,66680.1,66705.8,8139.611,1771808399999,546392831.4675,192211,3451.885,231783516.1716
1771808400000,66705.8,66705.8,64232.8,64387.2,58774.078,1771811999999,3836457036.66,1265591,26844.275,1751977822.6196
1771812000000,64387.2,64877.2,64273.8,64742.4,14329.587,1771815599999,926273136.7221,385902,7579.762,490035350.3174
1771815600000,64742.5,65071.7,64658.0,64894.0,7843.597,1771819199999,508699453.5422,201839,4081.27,264699114.3717
1771819200000,64894.1,64989.9,64628.5,64777.3,4946.411,1771822799999,320560418.6849,131423,2236.368,144930102.0184
1771822800000,64777.2,65189.3,64768.8,65031.9,6877.93,1771826399999,447170960.2066,163082,3475.538,225974531.0441
1771826400000,65031.9,65775.0,64990.8,65717.7,11459.287,1771829999999,749680570.0838,227314,5983.528,391537145.2416
1771830000000,65717.7,65980.0,65597.5,65915.8,8197.238,1771833599999,539331752.9398,187619,4245.888,279361139.8764
