timestamp,open_interest,sum_open_interest_value
1770951600000,9822907.71000000,776899415.81250270
1770955200000,9856393.62000000,778753659.91620000
1770958800000,9848489.58000000,772810977.34260000
1770962400000,9839618.50000000,769909988.59963880
1770966000000,9821743.50000000,771812886.22854500
1770969600000,9820234.61000000,775123509.03753330
1770973200000,9782511.37000000,779274855.73420000
1770976800000,9808774.07000000,782950480.90701030
1770980400000,9838996.94000000,790042773.21236000
1770984000000,9856382.60000000,791081004.63777720
1770987600000,9853898.55000000,787622111.10150000
1770991200000,9832851.51000000,788988005.16240000
1770994800000,9830306.39000000,798882502.03630440
1770998400000,9713239.94000000,807753033.41040000
1771002000000,9761805.18000000,821748760.05240000
1771005600000,9744704.80000000,821478614.64000000
1771009200000,9747132.37000000,831820276.45580000
1771012800000,9721445.70000000,822725949.59100000
1771016400000,9692118.92000000,821390342.02212770
1771020000000,9654516.97000000,818719267.62321040
1771023600000,9642265.69000000,816024945.34470000
1771027200000,9644244.25000000,812977358.32110880
1771030800000,9655912.59000000,819883538.01690000
1771034400000,9670785.22000000,821531951.58877480
1771038000000,9656414.05000000,819250168.00200000
1771041600000,9631566.94000000,818683189.90000000
1771045200000,9647170.70000000,817694188.53200000
1771048800000,9654753.75000000,816524858.11042200
1771052400000,9622889.65000000,816021042.32000000
1771056000000,9658605.70000000,822237103.24100000
1771059600000,9623340.11000000,829055575.04183080
1771063200000,9654419.73000000,829797375.79350000
1771066800000,9673372.47000000,829708299.13472970
1771070400000,9659907.15000000,842764289.88809060
1771074000000,9599986.12000000,829054801.32320000
1771077600000,9557576.31000000,825774593.18400000
1771081200000,9546429.63000000,832399261.82184340
1771084800000,9566072.33000000,835979060.91870000
1771088400000,9617581.62000000,846635710.00860000
1771092000000,9592781.23000000,844100669.61251740
1771095600000,9601081.40000000,844264022.96068940
1771099200000,9577833.93000000,843998725.91160000
1771102800000,9562170.35000000,842331586.13150000
1771106400000,9456202.06000000,832240343.30060000
1771110000000,9468969.56000000,837435667.88640000
1771113600000,9521870.99000000,838019865.82990000
1771117200000,9521017.89000000,839158320.77620570
1771120800000,9491176.54000000,837596329.65500000
1771124400000,9457729.20000000,831996437.72400000
1771128000000,9447763.60000000,836800049.60361780
1771131600000,9578688.68000000,850108620.35000000
1771135200000,9646735.18000000,864629592.34534940
1771138800000,9682637.20000000,867080161.26000000
1771142400000,9746797.11000000,883839561.93480000
1771146000000,9661095.80000000,865730794.63800000
1771149600000,9643942.72000000,867376208.23680000
1771153200000,9589996.25000000,858034862.77700110
1771156800000,9556058.79000000,851717714.41012670
1771160400000,9534146.26000000,832262757.40199740
1771164000000,9683489.66000000,841722094.84924230
1771167600000,9635832.77000000,841208200.82100000
1771171200000,9590692.30000000,837856235.03837620
1771174800000,9560243.59000000,836914811.26550100
1771178400000,9489452.15000000,819526520.55675580
1771182000000,9468513.68000000,815866976.83470340
1771185600000,9478248.55000000,808428127.98835670
1771189200000,9449990.77000000,810969749.61219570
1771192800000,9432677.44000000,812765765.41755450
1771196400000,9378722.01000000,809389128.20721570
1771200000000,9430730.04000000,811841133.12095730
1771203600000,9434668.05000000,812569754.30735170
1771207200000,9436385.88000000,808878311.06294200
1771210800000,9378345.24000000,800254199.32920000
1771214400000,9440473.84000000,803478728.52240000
1771218000000,9443009.64000000,809832506.72640000
1771221600000,9461960.65000000,800943851.97569310
1771225200000,9537642.31000000,810761822.12208820
1771228800000,9565029.34000000,813123144.19340000
1771232400000,9574546.85000000,816958279.81440850
1771236000000,9542605.56000000,820159341.12411490
1771239600000,9533395.86000000,816969006.89718930
1771243200000,9468876.43000000,809494246.00070000
1771246800000,9493962.12000000,817690326.35521550
1771250400000,9360497.30000000,787546256.66446950
1771254000000,9363479.40000000,786459852.07578120
1771257600000,9412875.08000000,782774691.65280000
1771261200000,9261215.66000000,777201218.18720000
1771264800000,9257518.92000000,782075198.36160000
1771268400000,9278488.92000000,783846743.96160000
1771272000000,9312543.06000000,787768101.52764120
1771275600000,9379715.46000000,800183525.89260000
1771279200000,9362634.80000000,805193884.23272960
1771282800000,9341769.97000000,800309433.32990000
1771286400000,9406485.98000000,812626323.81220000
1771290000000,9404385.49000000,814043608.01440000
1771293600000,9445201.09000000,813852827.13108250
1771297200000,9409996.59000000,821044260.26230670
1771300800000,9430567.49000000,814037820.40154080
1771304400000,9426361.65000000,813686599.40452750
1771308000000,9415109.80000000,811300011.46600000
1771311600000,9405936.34000000,813064816.54924130
1771315200000,9402296.25000000,812547032.76529630
1771318800000,9452108.56000000,811965470.22571430
1771322400000,9415838.78000000,808649241.59687960
1771326000000,9441569.01000000,802438950.15990000
1771329600000,9457459.46000000,804286608.97042300
1771333200000,9435818.23000000,798081505.89340000
1771336800000,9343728.28000000,793709495.81262220
1771340400000,9349685.09000000,777843345.50185820
1771344000000,9332070.04000000,781560865.85000000
1771347600000,9275657.12000000,780433806.78661380
1771351200000,9253347.58000000,773975613.27784780
1771354800000,9271641.73000000,788645845.55380000
1771358400000,9251848.40000000,784826675.23121510
1771362000000,9228158.61000000,784301200.26390000
1771365600000,9237383.18000000,786747925.44060000
1771369200000,9226451.25000000,784248356.25000000
1771372800000,9284019.56000000,789420183.18680000
1771376400000,9269215.59000000,786435703.27331220
1771380000000,9272416.42000000,780737462.56400000
1771383600000,9275436.86000000,784807840.25038790
1771387200000,9261972.25000000,789864753.93335320
1771390800000,9238003.80000000,786154123.38000000
1771394400000,9250395.34000000,784931358.90825000
1771398000000,9256733.73000000,785618991.66510000
1771401600000,9281936.37000000,791099436.81510000
1771405200000,9246744.76000000,789579535.05640000
1771408800000,9234643.23000000,787373584.72605160
1771412400000,9214713.36000000,776063159.17920000
1771416000000,9534973.37000000,789275591.59585100
1771419600000,9772416.57000000,810231057.81870000
1771423200000,9880858.51000000,815763678.58560000
1771426800000,9926703.72000000,819052323.93720000
1771430400000,9956484.35000000,825989941.67600000
1771434000000,10025619.55000000,824504529.70257300
1771437600000,10022708.99000000,823041310.49630690
1771441200000,9944382.08000000,807829702.83577620
1771444800000,9900908.43000000,800562239.62017420
1771448400000,9909426.33000000,805228540.36846270
1771452000000,9883742.36000000,802810002.95338310
1771455600000,9906405.15000000,806282315.15850000
1771459200000,9951667.28000000,811612689.03979180
1771462800000,9957942.98000000,810955126.00583170
1771466400000,9968602.82000000,815631082.73240000
1771470000000,10015568.32000000,817170219.22880000
1771473600000,10017261.98000000,818514644.16781940
1771477200000,10022117.06000000,816362666.56538030
1771480800000,10044818.02000000,822018423.47202900
1771484400000,10038858.46000000,826459746.52927270
1771488000000,10044023.21000000,827161689.99204480
1771491600000,10044926.18000000,820369121.12060000
1771495200000,10127580.70000000,821823964.64695160
1771498800000,10101061.36000000,823135490.22640000
1771502400000,10056904.12000000,816620614.54400000
1771506000000,10082597.87000000,814257427.63899960
1771509600000,9982638.14000000,798511224.81860000
1771513200000,9944020.45000000,802793109.36963420
1771516800000,9918833.48000000,799457978.48800000
1771520400000,9939134.77000000,802526103.65914430
1771524000000,9898920.57000000,796217805.25095150
1771527600000,9839246.44000000,806326245.75800000
1771531200000,9788236.58000000,801852340.63360000
1771534800000,9711890.94000000,796666413.80820000
1771538400000,9677669.99000000,793762492.57980000
1771542000000,9623790.55000000,792230438.07600000
1771545600000,9622631.25000000,793385946.56250000
1771549200000,9595031.55000000,795236214.86400000
1771552800000,9599230.27000000,796352143.19920000
1771556400000,9564574.37000000,792616278.04190000
1771560000000,9589147.58000000,795707466.18840000
1771563600000,9521333.99000000,786652614.25380000
1771567200000,9517671.12000000,792112722.60301600
1771570800000,9527181.14000000,797174755.40752960
1771574400000,9474793.67000000,790204205.66058310
1771578000000,9497989.33000000,794126887.88130000
1771581600000,9468528.79000000,796871382.96640000
1771585200000,9494642.19000000,798030022.69241000
1771588800000,9511470.64000000,794207798.44000000
1771592400000,9494684.72000000,794418888.47609210
1771596000000,9595390.12000000,788419778.41197730
1771599600000,9476671.55000000,786563738.65000000
1771603200000,9400648.00000000,792850652.32000000
1771606800000,9379338.58000000,792063420.15767510
1771610400000,9317618.55000000,787043970.32333450
1771614000000,9348659.58000000,796509587.84535240
1771617600000,9403844.17000000,796693678.08240000
1771621200000,9366145.40000000,792094916.47800000
1771624800000,9389497.84000000,793600357.43680000
1771628400000,9376753.67000000,792919822.17465250
1771632000000,9374077.94000000,793234475.28280000
1771635600000,9377249.95000000,791439895.78000000
1771639200000,9376521.85000000,793535044.16550000
1771642800000,9404385.83000000,797085957.28595530
1771646400000,9420566.86000000,794041500.20645390
1771650000000,9409497.31000000,793746569.62570670
1771653600000,9414960.97000000,794960220.35592370
1771657200000,9525875.98000000,800843512.50565460
1771660800000,9527742.57000000,801974366.51831020
1771664400000,9526537.06000000,806617077.11640260
1771668000000,9573550.18000000,812506267.10045040
1771671600000,9616087.03000000,818347783.39382170
1771675200000,9651355.13000000,823792988.07222450
1771678800000,9681734.01000000,825536411.61227740
1771682400000,9735964.35000000,835594280.34376900
1771686000000,9809666.80000000,846279954.83600000
1771689600000,9817612.96000000,849616225.55840000
1771693200000,9809822.68000000,844531584.15200750
1771696800000,9730055.61000000,838633493.02590000
1771700400000,9822244.87000000,849830701.12363050
1771704000000,9835121.07000000,847411971.24213900
1771707600000,9803832.63000000,837437857.03022310
1771711200000,9795349.92000000,840441023.13600000
1771714800000,9765268.56000000,834290203.90226460
1771718400000,9709741.62000000,826830033.26181410
1771722000000,9675446.17000000,822606433.37340000
1771725600000,9663417.69000000,823983270.99522550
1771729200000,9628426.20000000,817549668.64200000
1771732800000,9645174.44000000,820101834.41623760
1771736400000,9637744.34000000,820185631.49336760
1771740000000,9632947.74000000,818126251.55820000
1771743600000,9641667.98000000,821952195.29500000
1771747200000,9645874.65000000,821828520.18000000
1771750800000,9624635.61000000,817516548.71340000
1771754400000,9619892.62000000,817498474.84760000
1771758000000,9602349.95000000,817832145.24150000
1771761600000,9588210.11000000,816949757.84143470
1771765200000,9517194.27000000,803441540.27340000
1771768800000,9534616.22000000,800335685.50680000
1771772400000,9536968.73000000,797335721.15379940
1771776000000,9716929.15000000,810886329.37342370
1771779600000,9696022.34000000,809908746.06020000
1771783200000,9680908.48000000,803612212.92480000
1771786800000,9665678.10000000,803991104.35800000
1771790400000,9680626.56000000,805912161.12000000
1771794000000,9774935.90000000,810947503.70757680
1771797600000,9757199.31000000,814221636.34476110
1771801200000,9703216.47000000,810412639.57440000
1771804800000,9736947.94000000,805635072.55560000
1771808400000,9738208.19000000,791859986.13400670
1771812000000,10035500.06000000,781865809.67460000
1771815600000,10187094.16000000,792423198.40567310
1771819200000,10313109.11000000,799987873.66270000
1771822800000,10415327.15000000,805111030.07979460
1771826400000,10558178.88000000,820857099.67862270
1771830000000,10485507.60000000,828394771.68887410
1771833600000,10366426.86000000,822403751.19630380
1771837200000,10420949.09000000,820063440.00503560
1771840800000,10365122.05000000,833355812.82000000
1771844400000,10408305.29000000,834781516.10678520
1771848000000,10391660.56000000,831358337.30993590
1771851600000,10337654.00000000,833835171.64000000
1771855200000,10315005.58000000,830151649.07840000
1771858800000,10352770.13000000,829112074.83144780
1771862400000,10365606.80000000,823001892.97837940
1771866000000,10304695.68000000,813321735.72642900
1771869600000,10307659.09000000,806780476.97430000
1771873200000,10215118.06000000,802657959.98881210
1771876800000,10197056.20000000,797738317.58038840
1771880400000,10207959.72000000,799079086.88160000
1771884000000,10217439.56000000,800381913.48773380
1771887600000,10205839.08000000,798300732.83760000
1771891200000,10285845.38000000,800958779.74060000
1771894800000,10361042.23000000,812409321.25430000
1771898400000,10322495.57000000,801255248.97201800
1771902000000,10319996.61000000,800934936.90210000
1771905600000,10418611.91000000,800461953.04530000
1771909200000,10508238.80000000,807102763.69597400
1771912800000,10534565.55000000,806738251.30187550
1771916400000,10561654.96000000,808452147.05976870
1771920000000,10628323.93000000,816387805.37101390
1771923600000,10621637.89000000,817759901.15110000
1771927200000,10628074.21000000,814216765.22810000
1771930800000,10621307.77000000,814760519.03670000
1771934400000,10650441.41000000,817208369.38930000
1771938000000,10666167.34000000,816495109.87700000
1771941600000,10685457.81000000,817544377.04310000
1771945200000,10621981.04000000,816193023.11360000
1771948800000,10665923.78000000,823942612.00500000
1771952400000,10554758.27000000,824178407.69939760
1771956000000,10448888.33000000,814281867.55690000
1771959600000,10439592.61000000,815728741.20588350
1771963200000,10454319.49000000,818886845.65170000
1771966800000,10438003.33000000,820573826.43200180
1771970400000,10419179.11000000,817801368.34390000
1771974000000,10441022.78000000,825049620.07560000
1771977600000,10436912.46000000,823399271.77219780
