timestamp,open_interest,sum_open_interest_value
1770764400000,280099479.00000000,391887181.06890000
1770768000000,280472246.30000000,392324578.12444000
1770771600000,280088045.80000000,394672065.33678000
1770775200000,280810554.30000000,395746314.17499000
1770778800000,280356282.30000000,395106108.64539000
1770782400000,281193218.60000000,394626562.98324000
1770786000000,285156080.20000000,394574996.45129360
1770789600000,289076929.40000000,397539139.66627660
1770793200000,291507880.30000000,396300864.66705300
1770796800000,289926371.60000000,396259245.78054714
1770800400000,288187859.90000000,393722334.88798076
1770804000000,290790449.80000000,395790074.45664483
1770807600000,290293786.00000000,395031783.98880000
1770811200000,285659869.40000000,393797592.73663060
1770814800000,286265507.40000000,392711114.90635260
1770818400000,283604551.60000000,390041339.81548000
1770822000000,279606047.60000000,380679224.42002934
1770825600000,284133622.30000000,384574857.78305000
1770829200000,281148592.60000000,377948629.38679480
1770832800000,277211763.10000000,379672615.49738747
1770836400000,275701427.30000000,379825389.60037760
1770840000000,273325750.10000000,376655259.82776450
1770843600000,271998063.00000000,375499524.80735576
1770847200000,271323815.40000000,375159439.55358000
1770850800000,269710552.40000000,369773167.34040000
1770854400000,269972665.90000000,369670761.00141800
1770858000000,266038099.00000000,366416545.71806544
1770861600000,266101013.20000000,367352448.72260000
1770865200000,265529616.50000000,365448411.18895000
1770868800000,266109267.70000000,365984836.56260914
1770872400000,266139433.90000000,365909622.53537730
1770876000000,266188700.00000000,367260549.39000000
1770879600000,264715259.30000000,365722981.09656477
1770883200000,264216548.40000000,365048759.39089453
1770886800000,265411702.20000000,366586643.07864000
1770890400000,265844663.50000000,370906474.51520000
1770894000000,265967757.50000000,373152763.77250000
1770897600000,264598235.20000000,370854919.76611626
1770901200000,264271236.30000000,367812706.68234000
1770904800000,263054630.80000000,368460621.36156000
1770908400000,264802885.00000000,367703959.44854620
1770912000000,264826093.60000000,364117772.53998060
1770915600000,266371368.30000000,360133591.82714130
1770919200000,265099217.10000000,360899799.26147130
1770922800000,264462826.50000000,360298714.82325890
1770926400000,263708586.20000000,359623924.24027920
1770930000000,263537067.90000000,355933163.90574000
1770933600000,263352471.50000000,355841859.49080000
1770937200000,262870145.30000000,358397156.10202000
1770940800000,263323005.40000000,358830259.45858000
1770944400000,265728040.40000000,359430260.43931020
1770948000000,265420656.00000000,360149288.12640000
1770951600000,264691792.70000000,361516050.46966000
1770955200000,265276546.00000000,361871331.26611197
1770958800000,265596558.80000000,360547647.28687054
1770962400000,265161947.70000000,358608507.60071170
1770966000000,266274001.70000000,361129548.20649580
1770969600000,266158745.90000000,360166014.95188000
1770973200000,264610736.30000000,361696415.44847000
1770976800000,264517680.40000000,361841927.13172200
1770980400000,263692272.70000000,360678290.59906000
1770984000000,262726101.70000000,359231649.10836947
1770987600000,262094355.90000000,357492749.06471300
