timestamp,open_interest,sum_open_interest_value
1770994800000,80770.45400000,5468330140.97293800
1770998400000,78683.63700000,5401844125.86990000
1771002000000,79026.99000000,5446611275.09100000
1771005600000,79031.03100000,5453449360.02090000
1771009200000,79197.48000000,5471492541.51600000
1771012800000,79497.64800000,5479653630.16800000
1771016400000,79429.42100000,5461556467.01530800
1771020000000,79431.29800000,5470673770.63373700
1771023600000,79214.49600000,5463424681.71844700
1771027200000,79203.46300000,5453426457.23444200
1771030800000,79195.46100000,5468660409.79470000
1771034400000,79346.71500000,5469819407.58017400
1771038000000,79276.14600000,5458531180.47763600
1771041600000,79189.42800000,5459933152.36877500
1771045200000,79131.73200000,5441374853.38200000
1771048800000,79038.28100000,5432982357.95734300
1771052400000,79099.83900000,5449615047.84060000
1771056000000,79487.57700000,5499144090.51798200
1771059600000,79924.09400000,5571454046.86284400
1771063200000,79830.24600000,5562269317.97166700
1771066800000,79668.67200000,5547632372.31360000
1771070400000,78617.08800000,5539800276.17280000
1771074000000,80373.92300000,5594137564.29220000
1771077600000,80247.33200000,5571572260.76000000
1771081200000,80479.66500000,5606704389.85650000
1771084800000,80375.31500000,5606507760.04150000
1771088400000,79497.73400000,5543384941.59340000
1771092000000,79198.85800000,5521023670.15220000
1771095600000,78880.91400000,5500500230.77380000
1771099200000,78909.64600000,5511341642.33020000
1771102800000,78571.37900000,5499056108.59510600
1771106400000,77848.06300000,5441453158.70186200
1771110000000,77822.44800000,5441913668.03040000
1771113600000,77778.23900000,5428547746.65280000
1771117200000,78004.24500000,5440702483.65600000
1771120800000,78061.34600000,5439778705.84080600
1771124400000,78160.85700000,5429898910.98016700
1771128000000,77405.34900000,5412358353.34054800
1771131600000,78528.01700000,5509290088.66900000
1771135200000,78706.26200000,5528013017.83200000
1771138800000,78655.18000000,5534990178.27803200
1771142400000,79305.03700000,5613527739.00800000
1771146000000,78431.01600000,5521943524.58160000
1771149600000,78455.81200000,5522121073.16860400
1771153200000,78381.74600000,5517173528.32100000
1771156800000,78943.77500000,5547276442.34250000
1771160400000,77878.86400000,5396582054.36441900
1771164000000,77570.82700000,5344875727.49032700
1771167600000,77569.07500000,5362970707.35000000
1771171200000,77090.06700000,5324464456.56270000
1771174800000,77173.76200000,5325662028.83474600
1771178400000,76573.07700000,5253610113.60310700
1771182000000,76792.24100000,5254125129.22000000
1771185600000,77670.79100000,5302616495.00852100
1771189200000,77566.70000000,5307113614.00000000
1771192800000,76998.39400000,5302348105.86140000
1771196400000,76852.42700000,5295462685.73610000
1771200000000,77130.01800000,5305413472.75768400
1771203600000,77181.93600000,5310912170.74080000
1771207200000,77117.72500000,5289734086.86388500
1771210800000,77382.98300000,5285087469.42127700
1771214400000,77504.69300000,5300889560.09366000
1771218000000,77473.98500000,5332921757.47500000
1771221600000,77483.13700000,5296143653.36725300
1771225200000,77836.20700000,5325148534.66360000
1771228800000,77663.95300000,5324203608.80706300
1771232400000,77504.46900000,5326481948.36672000
1771236000000,77622.36800000,5352838497.28000000
1771239600000,77687.09700000,5341942494.45086700
1771243200000,77401.04200000,5326055199.18156000
1771246800000,75964.62700000,5296990651.32190000
1771250400000,76553.39400000,5233442640.04020000
1771254000000,76372.18000000,5222833724.78800000
1771257600000,76595.74000000,5170356063.68211700
1771261200000,76696.23300000,5204266695.43490900
1771264800000,76484.46000000,5194719943.44861500
1771268400000,75739.52600000,5137855553.99800000
1771272000000,75701.18100000,5139119974.01895500
1771275600000,75642.77800000,5181787478.44520000
1771279200000,75634.80300000,5206329227.98530000
1771282800000,75712.86900000,5190957582.79590000
1771286400000,75734.73100000,5215287408.17944050
1771290000000,75668.49300000,5209775743.05000000
1771293600000,75751.44300000,5196182731.57309500
1771297200000,75788.81700000,5214756843.19006800
1771300800000,75925.45900000,5196611745.61240000
1771304400000,76239.95400000,5218904298.35467100
1771308000000,76651.95000000,5228222549.23500000
1771311600000,76487.65400000,5229951039.41616500
1771315200000,76612.81100000,5236746115.40740000
1771318800000,76720.53800000,5227993295.48966100
1771322400000,76815.08500000,5230718557.41255800
1771326000000,77104.20200000,5229396996.24084800
1771329600000,77419.45800000,5251035516.60685700
1771333200000,77739.97300000,5278015534.88360000
1771336800000,77873.84000000,5303744610.65087800
1771340400000,78848.95600000,5270658463.82000000
1771344000000,79601.32000000,5361817553.08800000
1771347600000,78567.06600000,5302616991.64560000
1771351200000,78639.68600000,5285143304.61067000
1771354800000,78992.86100000,5376634595.64422600
1771358400000,79042.88200000,5355937780.03180000
1771362000000,78950.32600000,5350905714.84560000
1771365600000,78893.43700000,5337331074.77149500
1771369200000,78927.73400000,5328683711.67314150
1771372800000,79067.56100000,5335154839.27990000
1771376400000,79275.57400000,5335636508.97734800
1771380000000,79197.28500000,5317083962.50200000
1771383600000,79481.00000000,5349102483.04540200
