timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1771873200000,78506.13200000,5071915760.13078400,BTCUSDT
1771876800000,79168.66100000,5088344013.52420000,BTCUSDT
1771880400000,79384.26700000,5116133424.33590000,BTCUSDT
1771884000000,79399.59100000,5125600897.20950000,BTCUSDT
1771887600000,79188.23300000,5122793070.83821800,BTCUSDT
1771891200000,79623.12100000,5146082716.07916200,BTCUSDT
1771894800000,79921.42900000,5187834687.50343200,BTCUSDT
1771898400000,79713.27400000,5112241271.16347600,BTCUSDT
1771902000000,80187.17200000,5139363513.23512600,BTCUSDT
1771905600000,80823.25000000,5137974414.12500000,BTCUSDT
1771909200000,80955.64200000,5128277611.51397100,BTCUSDT
1771912800000,81865.57500000,5163065337.87000000,BTCUSDT
1771916400000,81835.98100000,5159791336.44240000,BTCUSDT
1771920000000,81501.27600000,5148264452.24040000,BTCUSDT
1771923600000,81637.61400000,5173510443.81339600,BTCUSDT
1771927200000,81787.79100000,5170084347.59940000,BTCUSDT
1771930800000,81715.09500000,5168514544.51048100,BTCUSDT
1771934400000,81801.73100000,5169861219.02690000,BTCUSDT
1771938000000,82404.10200000,5186285730.62956700,BTCUSDT
1771941600000,82846.24500000,5209115062.24050000,BTCUSDT
1771945200000,82493.18100000,5231874276.06390000,BTCUSDT
1771948800000,82820.51500000,5295281564.36080400,BTCUSDT
1771952400000,81973.58200000,5266064820.07855800,BTCUSDT
1771956000000,81250.72300000,5215655965.42977000,BTCUSDT
1771959600000,80292.94000000,5170682587.52299100,BTCUSDT
1771963200000,79583.68600000,5125619130.30440000,BTCUSDT
1771966800000,79431.05900000,5118142294.31361100,BTCUSDT
1771970400000,79585.60200000,5094706307.76959000,BTCUSDT
1771974000000,79695.67100000,5107638359.46318000,BTCUSDT
1771977600000,79798.78700000,5109292895.00640000,BTCUSDT
1771981200000,79790.73400000,5121796580.18476300,BTCUSDT
1771984800000,77487.03000000,5104001500.50288500,BTCUSDT
1771988400000,77472.26000000,5102243005.57960500,BTCUSDT
1771992000000,78305.19500000,5118152833.51200000,BTCUSDT
1771995600000,78582.05300000,5140995951.14316200,BTCUSDT
1771999200000,78780.72700000,5108764706.42330000,BTCUSDT
1772002800000,78766.76300000,5109017041.76380000,BTCUSDT
1772006400000,78944.82500000,5131701539.06538600,BTCUSDT
1772010000000,78898.45200000,5166909714.42120000,BTCUSDT
1772013600000,78813.74900000,5164226411.15027900,BTCUSDT
1772017200000,78832.28200000,5152985694.05621100,BTCUSDT
1772020800000,78906.47100000,5159997926.88792300,BTCUSDT
1772024400000,79366.33300000,5241241518.45380000,BTCUSDT
1772028000000,78972.40900000,5228925734.26378300,BTCUSDT
1772031600000,78927.65300000,5283743897.86125100,BTCUSDT
1772035200000,79325.82700000,5344545015.35291900,BTCUSDT
1772038800000,79911.76300000,5453402460.05640000,BTCUSDT
1772042400000,80766.49500000,5543747191.57776450,BTCUSDT
