timestamp,buyVol,sellVol,buySellRatio,symbol
1772024400000,9772.7420,6393.0690,1.5286,BTCUSDT
1772028000000,9542.6070,8469.7390,1.1267,BTCUSDT
1772031600000,12374.6280,10754.0970,1.1507,BTCUSDT
1772035200000,11111.6710,9111.2290,1.2196,BTCUSDT
1772038800000,11375.5310,10470.4130,1.0864,BTCUSDT
1772042400000,12729.7410,10637.0090,1.1967,BTCUSDT
1772046000000,5897.2180,6209.9100,0.9496,BTCUSDT
1772049600000,5705.4370,5587.3510,1.0211,BTCUSDT
1772053200000,8720.4430,8234.7310,1.0590,BTCUSDT
1772056800000,5026.1490,5546.4830,0.9062,BTCUSDT
1772060400000,5415.7910,6198.4470,0.8737,BTCUSDT
1772064000000,4867.7310,4479.6590,1.0866,BTCUSDT
1772067600000,2966.0680,2871.6170,1.0329,BTCUSDT
1772071200000,2992.5090,2940.0640,1.0178,BTCUSDT
1772074800000,1481.0050,1672.7600,0.8854,BTCUSDT
1772078400000,3438.8180,2931.2010,1.1732,BTCUSDT
1772082000000,2712.2400,2624.9050,1.0333,BTCUSDT
1772085600000,1552.7570,1906.4260,0.8145,BTCUSDT
1772089200000,1963.2490,2959.7620,0.6633,BTCUSDT
1772092800000,3064.2130,2626.5330,1.1666,BTCUSDT
1772096400000,4312.7230,3275.9100,1.3165,BTCUSDT
1772100000000,2608.9740,3125.7720,0.8347,BTCUSDT
1772103600000,1944.8150,2207.1000,0.8812,BTCUSDT
1772107200000,2423.8600,2157.4310,1.1235,BTCUSDT
1772110800000,2420.6060,2688.8940,0.9002,BTCUSDT
1772114400000,8564.5060,10080.8010,0.8496,BTCUSDT
1772118000000,10250.4510,12048.1600,0.8508,BTCUSDT
1772121600000,8603.6720,9021.4160,0.9537,BTCUSDT
1772125200000,4246.7430,5103.1330,0.8322,BTCUSDT
1772128800000,6158.1470,4751.8180,1.2960,BTCUSDT
1772132400000,5372.0220,4487.5770,1.1971,BTCUSDT
1772136000000,2311.7300,2750.7190,0.8404,BTCUSDT
1772139600000,1550.1750,1702.4540,0.9106,BTCUSDT
1772143200000,1026.7080,1127.5550,0.9106,BTCUSDT
1772146800000,1213.7120,1341.3290,0.9049,BTCUSDT
1772150400000,2514.3310,2971.5880,0.8461,BTCUSDT
1772154000000,3562.6640,4022.3330,0.8857,BTCUSDT
1772157600000,2178.4400,2304.4070,0.9453,BTCUSDT
1772161200000,2522.3350,2488.9440,1.0134,BTCUSDT
1772164800000,5546.5120,6151.1450,0.9017,BTCUSDT
1772168400000,1830.0840,1720.2920,1.0638,BTCUSDT
1772172000000,1600.7460,1862.7160,0.8594,BTCUSDT
1772175600000,2163.2370,2125.4240,1.0178,BTCUSDT
1772179200000,2968.9670,2633.8680,1.1272,BTCUSDT
1772182800000,3524.5630,4727.0280,0.7456,BTCUSDT
1772186400000,8295.8350,9193.4510,0.9024,BTCUSDT
1772190000000,8663.6820,10683.5920,0.8109,BTCUSDT
1772193600000,5080.2740,5745.4950,0.8842,BTCUSDT
1772197200000,8435.7090,7163.4410,1.1776,BTCUSDT
1772200800000,8430.7750,8325.7790,1.0126,BTCUSDT
1772204400000,6362.6140,4667.3780,1.3632,BTCUSDT
1772208000000,5778.4410,7823.6070,0.7386,BTCUSDT
1772211600000,6936.9400,5990.0320,1.1581,BTCUSDT
1772215200000,3199.6290,3245.6010,0.9858,BTCUSDT
1772218800000,2678.0920,2299.7880,1.1645,BTCUSDT
1772222400000,2233.2120,1919.8380,1.1632,BTCUSDT
1772226000000,1757.9750,1582.5660,1.1108,BTCUSDT
1772229600000,3304.2210,3906.3290,0.8459,BTCUSDT
1772233200000,2572.6930,1839.9960,1.3982,BTCUSDT
1772236800000,1987.1120,1773.7180,1.1203,BTCUSDT
1772240400000,1022.4480,1465.6710,0.6976,BTCUSDT
1772244000000,1040.0290,959.5220,1.0839,BTCUSDT
