fundingTime,fundingRate,markPrice,symbol
1771228800003,-0.00003277,68554.37742754,BTCUSDT
1771257600000,-0.00004112,67505.50000000,BTCUSDT
1771286400008,0.00005883,68862.55130435,BTCUSDT
1771315200001,0.00002672,68353.40000000,BTCUSDT
1771344000002,0.00005077,67363.50000000,BTCUSDT
1771372800000,0.00003215,67475.90000000,BTCUSDT
1771401600000,-0.00000141,68078.40000000,BTCUSDT
1771430400011,0.00003604,67672.63710870,BTCUSDT
1771459200013,-0.00004014,66430.40573913,BTCUSDT
1771488000000,0.00002686,67182.87271014,BTCUSDT
1771516800003,-0.00003052,66367.72373188,BTCUSDT
1771545600000,0.00005365,66974.00000000,BTCUSDT
1771574400000,0.00001302,67794.70000000,BTCUSDT
1771603200000,-0.00000671,67551.95540580,BTCUSDT
1771632000004,0.00004456,67988.82876812,BTCUSDT
1771660800000,0.00002485,67821.00000000,BTCUSDT
1771689600005,0.00003235,68583.28794603,BTCUSDT
1771718400001,0.00000730,67958.92213768,BTCUSDT
1771747200004,0.00000042,67974.33214493,BTCUSDT
1771776000000,0.00004972,67660.00000000,BTCUSDT
1771804800001,0.00006946,67613.60000000,BTCUSDT
1771833600000,-0.00009317,65915.80000000,BTCUSDT
1771862400000,0.00002251,65638.07392029,BTCUSDT
1771891200007,0.00005706,64630.15072464,BTCUSDT
1771920000000,-0.00001193,63164.80000000,BTCUSDT
1771948800001,-0.00000182,63936.83454348,BTCUSDT
1771977600001,0.00002375,64031.30000000,BTCUSDT
1772006400007,0.00000033,65002.83121739,BTCUSDT
1772035200000,-0.00000968,67376.31104348,BTCUSDT
1772064000000,-0.00001998,67953.96802174,BTCUSDT
1772092800006,-0.00001128,67799.90000000,BTCUSDT
1772121600002,0.00004007,67353.40000000,BTCUSDT
1772150400007,-0.00000991,67448.50202899,BTCUSDT
1772179200000,-0.00008123,67650.26318841,BTCUSDT
1772208000001,-0.00000656,66073.37640930,BTCUSDT
1772236800000,0.00004041,65839.41943778,BTCUSDT
1772265600000,-0.00003727,63790.80000000,BTCUSDT
1772294400004,-0.00004305,64801.17139855,BTCUSDT
1772323200005,-0.00000688,66952.93531159,BTCUSDT
1772352000000,0.00004563,67113.90000000,BTCUSDT
1772380800002,0.00002948,66802.60000000,BTCUSDT
1772409600001,-0.00000299,65749.90000000,BTCUSDT
1772438400007,-0.00001956,65981.30000000,BTCUSDT
1772467200000,-0.00001083,69089.10000000,BTCUSDT
1772496000000,-0.00000186,68801.80000000,BTCUSDT
