timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772326800000,9892333.10000000,839356572.71765610,SOLUSDT
1772330400000,9887460.82000000,857446075.11883840,SOLUSDT
1772334000000,9799491.38000000,861792767.39191830,SOLUSDT
1772337600000,9827134.43000000,864689558.49570000,SOLUSDT
1772341200000,9830292.37000000,860248885.29870000,SOLUSDT
1772344800000,9819124.29000000,856450502.16286270,SOLUSDT
1772348400000,9846154.45000000,852972360.00350000,SOLUSDT
1772352000000,9865440.95000000,854152212.69952730,SOLUSDT
1772355600000,9817160.76000000,836398225.44206760,SOLUSDT
1772359200000,9871312.64000000,838765435.02080000,SOLUSDT
1772362800000,9865705.03000000,840459411.50570000,SOLUSDT
1772366400000,9885593.64000000,841616803.67054410,SOLUSDT
1772370000000,9884763.19000000,838631090.72057370,SOLUSDT
1772373600000,9853307.70000000,847778594.50800000,SOLUSDT
1772377200000,9822127.64000000,842640330.23560000,SOLUSDT
1772380800000,9776726.40000000,836802596.00501490,SOLUSDT
1772384400000,9717263.08000000,816055753.45840000,SOLUSDT
1772388000000,9712697.53000000,814453818.79437830,SOLUSDT
1772391600000,9701617.35000000,813945988.57564460,SOLUSDT
1772395200000,9688871.58000000,806070621.91769990,SOLUSDT
1772398800000,9686564.77000000,793780268.61908670,SOLUSDT
1772402400000,9638019.41000000,798895428.89490000,SOLUSDT
1772406000000,9491094.08000000,784723658.53440000,SOLUSDT
1772409600000,9576130.65000000,800085715.80750000,SOLUSDT
1772413200000,9510582.59000000,807963716.53376670,SOLUSDT
1772416800000,9479044.24000000,801832352.26160000,SOLUSDT
1772420400000,9465175.93000000,796016484.56407480,SOLUSDT
1772424000000,9483135.44000000,803411234.47680000,SOLUSDT
1772427600000,9509722.43000000,801289211.95180000,SOLUSDT
1772431200000,9509486.18000000,800413451.77060000,SOLUSDT
1772434800000,9568774.81000000,796155764.07725240,SOLUSDT
1772438400000,9564610.16000000,792810536.16240000,SOLUSDT
1772442000000,9587200.13000000,799638699.85435380,SOLUSDT
1772445600000,9655404.00000000,807352538.13180260,SOLUSDT
1772449200000,9654234.59000000,809554220.59846230,SOLUSDT
1772452800000,9694203.60000000,812762029.82400000,SOLUSDT
1772456400000,9731033.60000000,814068322.45506170,SOLUSDT
1772460000000,9736759.44000000,808345768.70880000,SOLUSDT
1772463600000,9786892.32000000,838051589.36160000,SOLUSDT
1772467200000,9846054.62000000,873837347.52500000,SOLUSDT
1772470800000,9910557.12000000,880255683.39840000,SOLUSDT
1772474400000,9847051.35000000,862362304.82216100,SOLUSDT
1772478000000,9785299.79000000,854060965.67120000,SOLUSDT
1772481600000,9731652.93000000,852687429.72660000,SOLUSDT
1772485200000,9657076.46000000,845151682.39173570,SOLUSDT
1772488800000,9650613.99000000,844275767.49061470,SOLUSDT
1772492400000,9610044.85000000,845457327.23906840,SOLUSDT
1772496000000,9587949.79000000,830220572.31610000,SOLUSDT
1772499600000,9596783.07000000,833758380.07029200,SOLUSDT
1772503200000,9611292.06000000,827552057.06508110,SOLUSDT
1772506800000,9594997.90000000,826513119.10600000,SOLUSDT
1772510400000,9602436.99000000,828119219.01199290,SOLUSDT
1772514000000,9606175.07000000,824237351.91950360,SOLUSDT
1772517600000,9572930.39000000,820921131.49081600,SOLUSDT
1772521200000,9583193.48000000,822293552.34413290,SOLUSDT
1772524800000,9543947.60000000,816484717.18000000,SOLUSDT
1772528400000,9531918.89000000,802587570.53800000,SOLUSDT
1772532000000,9638485.32000000,812042388.21000000,SOLUSDT
1772535600000,9605654.95000000,805530224.10700000,SOLUSDT
